frame.encap_type,frame.len,frame.number,frame.time,frame.time_delta,frame.time_delta_displayed,frame.time_epoch,frame.time_relative,radiotap.channel.flags.cck,radiotap.channel.flags.ofdm,radiotap.channel.freq,radiotap.datarate,radiotap.dbm_antsignal,radiotap.length,radiotap.mactime,radiotap.present.tsft,radiotap.rxflags,radiotap.timestamp.ts,radiotap.vendor_oui,wlan.duration,wlan.analysis.kck,wlan.analysis.kek,wlan.bssid,wlan.country_info.fnm,wlan.country_info.code,wlan.da,wlan.fc.ds,wlan.fc.frag,wlan.fc.order,wlan.fc.moredata,wlan.fc.protected,wlan.fc.pwrmgt,wlan.fc.type,wlan.fc.retry,wlan.fc.subtype,wlan.fcs.bad_checksum,wlan.fixed.beacon,wlan.fixed.capabilities.ess,wlan.fixed.capabilities.ibss,wlan.fixed.reason_code,wlan.fixed.timestamp,wlan.ra,wlan_radio.duration,wlan.rsn.ie.gtk.key,wlan.rsn.ie.igtk.key,wlan.rsn.ie.pmkid,wlan.sa,wlan.seq,wlan.ssid,wlan.ta,wlan.tag,wlan.tag.length,wlan_radio.channel,wlan_radio.data_rate,wlan_radio.end_tsf,wlan_radio.frequency,wlan_radio.signal_dbm,wlan_radio.start_tsf,wlan_radio.phy,wlan_radio.timestamp,wlan.rsn.capabilities.mfpc,wlan_rsna_eapol.keydes.msgnr,wlan_rsna_eapol.keydes.data,wlan_rsna_eapol.keydes.data_len,wlan_rsna_eapol.keydes.key_info.key_mic,wlan_rsna_eapol.keydes.nonce,eapol.keydes.key_len,eapol.keydes.replay_counter,eapol.len,eapol.type,llc,arp,arp.hw.type,arp.proto.type,arp.hw.size,arp.proto.size,arp.opcode,arp.src.hw_mac,arp.src.proto_ipv4,arp.dst.hw_mac,arp.dst.proto_ipv4,ip.dst,ip.proto,ip.src,ip.ttl,ip.version,data.data,data.len,icmpv6.mldr.nb_mcast_records,icmpv6.ni.nonce,tcp.ack,tcp.ack_raw,tcp.analysis,tcp.analysis.flags,tcp.analysis.retransmission,tcp.analysis.reused_ports,tcp.analysis.rto_frame,tcp.checksum,tcp.checksum.status,tcp.flags.syn,tcp.dstport,tcp.flags.ack,tcp.flags.fin,tcp.flags.push,tcp.flags.reset,tcp.option_len,tcp.payload,tcp.seq,tcp.seq_raw,tcp.srcport,tcp.time_delta,tcp.time_relative,udp.dstport,udp.srcport,udp.length,udp.payload,udp.time_relative,udp.time_delta,nbns,nbss.continuation_data,nbss.type,nbss.length,ldap,smb.access.generic_execute,smb.access.generic_read,smb.access.generic_write,smb.flags.notify,smb.flags.response,smb.flags2.nt_error,smb.flags2.sec_sig,smb.mid,smb.nt_status,smb.server_component,smb.pid.high,smb.tid,smb2.acct,smb2.auth_frame,smb2.buffer_code,smb2.cmd,smb2.data_offset,smb2.domain,smb2.fid,smb2.filename,smb2.header_len,smb2.host,smb2.msg_id,smb2.pid,smb2.previous_sesid,smb2.protocol_id,smb2.sesid,smb2.session_flags,smb2.tid,smb2.write_length,dhcp,dhcp.client_id.duid_ll_hw_type,dhcp.cookie,dhcp.hw.addr_padding,dhcp.hw.mac_addr,dhcp.id,dhcp.ip.client,dhcp.ip.relay,dhcp.ip.server,dhcp.option.broadcast_address,dhcp.option.dhcp_server_id,dhcp.option.router,dhcp.option.vendor.bsdp.message_type,mdns,dns,dns.a,dns.count.add_rr,dns.count.answers,dns.count.auth_rr,dns.count.labels,dns.count.queries,dns.flags.authoritative,dns.flags.checkdisable,dns.flags.opcode,dns.flags.response,dns.id,dns.ptr.domain_name,dns.qry.name,dns.qry.name.len,dns.resp.len,dns.resp.name,dns.resp.ttl,dns.resp.len.1,dns.retransmit_request,dns.retransmit_response,dns.time,ssdp,http.connection,http.content_length,http.content_type,http.date,http.file_data,http.host,http.last_modified,http.location,http.next_request_in,http.next_response_in,http.request.full_uri,http.request.line,http.request.method,http.request.uri.path,http.request.uri.query,http.request.uri.query.parameter,http.request.version,http.request_in,http.response.code,http.response.code.desc,http.response.line,http.response.phrase,http.response.version,http.response_for.uri,http.response_in,http.referer,http.time,http.server,json.value.string,json.key,ssh.cookie,ssh.compression_algorithms_client_to_server_length,ssh.compression_algorithms_server_to_client_length,ssh.direction,ssh.dh_gex.max,ssh.dh_gex.min,ssh.dh_gex.nbits,ssh.encryption_algorithms_client_to_server_length,ssh.encryption_algorithms_server_to_client_length,ssh.host_key.length,ssh.host_key.type_length,ssh.kex_algorithms_length,ssh.mac_algorithms_client_to_server_length,ssh.mac_algorithms_server_to_client_length,ssh.message_code,ssh.mpint_length,ssh.packet_length,ssh.packet_length_encrypted,ssh.padding_length,ssh.padding_string,ssh.protocol,ssh.server_host_key_algorithms_length,tls.alert_message.desc,tls.alert_message.level,tls.app_data_proto,tls.compress_certificate.compressed_certificate_message.length,tls.connection_id,tls.handshake.extension.type,tls.handshake.extensions_key_share_group,tls.handshake.session_ticket_length,tls.handshake.version,tls.record.content_type,tls.record.version,Label
23,342,1,Dec 15- 2020 22:54:22.005638000 GTB Standard Time,0,0,1608065662,0,0,1,5180,6,-111,56,7595451739,1-0-0,0x00000000,3300484422,,0,,,0c:9d:92:54:fe:34,1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1,DE,ff:ff:ff:ff:ff:ff,0x00000000,0,0,0,0,0,0,0,8,,100,1,0,,24013516860,ff:ff:ff:ff:ff:ff,408,,,,0c:9d:92:54:fe:34,1728,ASUS_5G,0c:9d:92:54:fe:34,1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1,7-8-4-52-1-2-20-5-26-22-8-12-5-2-9-24-5,36,6,7595451739,5180,-35,7595451331,5,7595451739,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal
23,138,2,Dec 15- 2020 22:54:22.011129000 GTB Standard Time,0.005491,0.005491,1608065662,0.005491,0,1,5180,6,-111,56,7595457548,1-0-0,0x00000000,3300490231,,0,,,0c:9d:92:54:fe:34,,,01:80:c2:00:00:00,0x00000002,0,0,0,1,0,2,0,0,,,,,,,01:80:c2:00:00:00,136,,,,0c:9d:92:54:fe:34,1729,,0c:9d:92:54:fe:34,,,36,6,7595457548,5180,-35,7595457412,5,7595457548,,,,,,,,,,,,,,,,,,,,,,,,,,,dbcfe73881333804f6d58450b38ae0b30ff9ff65266291e03a03dc69acc094ca5f4c26cb02deab7d926132497f1f,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal
23,342,3,Dec 15- 2020 22:54:22.108031000 GTB Standard Time,0.096902,0.096902,1608065662,0.102393,0,1,5180,6,-108,56,7595554139,1-0-0,0x00000000,3300586822,,0,,,0c:9d:92:54:fe:34,1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1,DE,ff:ff:ff:ff:ff:ff,0x00000000,0,0,0,0,0,0,0,8,,100,1,0,,24013619260,ff:ff:ff:ff:ff:ff,408,,,,0c:9d:92:54:fe:34,1730,ASUS_5G,0c:9d:92:54:fe:34,1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1,7-8-4-52-1-2-20-5-26-22-8-12-5-2-9-24-5,36,6,7595554139,5180,-34,7595553731,5,7595554139,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal
23,136,4,Dec 15- 2020 22:54:22.181105000 GTB Standard Time,0.073074,0.073074,1608065662,0.175467,0,1,5180,6,-108,56,7595627525,1-0-0,0x00000000,3300660208,,0,,,0c:9d:92:54:fe:34,,,ff:ff:ff:ff:ff:ff,0x00000002,0,0,0,1,0,2,0,0,,,,,,,ff:ff:ff:ff:ff:ff,132,,,,0c:9d:92:54:fe:30,1731,,0c:9d:92:54:fe:34,,,36,6,7595627525,5180,-34,7595627393,5,7595627525,,,,,,,,,,,,,,,,,,,,,,,,,,,7a8dc409e85940ead9f27a135ec3c0c96bf02cb01a047055eee52cc851a87a659c7c87edd89597edee9ef46c,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal
23,342,5,Dec 15- 2020 22:54:22.210453000 GTB Standard Time,0.029348,0.029348,1608065662,0.204815,0,1,5180,6,-109,56,7595656547,1-0-0,0x00000000,3300689230,,0,,,0c:9d:92:54:fe:34,1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1,DE,ff:ff:ff:ff:ff:ff,0x00000000,0,0,0,0,0,0,0,8,,100,1,0,,24013721667,ff:ff:ff:ff:ff:ff,408,,,,0c:9d:92:54:fe:34,1732,ASUS_5G,0c:9d:92:54:fe:34,1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1,7-8-4-52-1-2-20-5-26-22-8-12-5-2-9-24-5,36,6,7595656547,5180,-34,7595656139,5,7595656547,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal
23,136,6,Dec 15- 2020 22:54:22.271096000 GTB Standard Time,0.060643,0.060643,1608065662,0.265458,0,1,5180,6,-109,56,7595717505,1-0-0,0x00000000,3300750188,,0,,,0c:9d:92:54:fe:34,,,ff:ff:ff:ff:ff:ff,0x00000002,0,0,0,1,0,2,0,0,,,,,,,ff:ff:ff:ff:ff:ff,132,,,,0c:9d:92:54:fe:30,1733,,0c:9d:92:54:fe:34,,,36,6,7595717505,5180,-34,7595717373,5,7595717505,,,,,,,,,,,,,,,,,,,,,,,,,,,a85d1c1223f6d3205b44e9362a0dbee0a89aafdc4cb1fb138054249c2ca0de64c46f7abb79b67684f2320216,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal
23,342,7,Dec 15- 2020 22:54:22.312839000 GTB Standard Time,0.041743,0.041743,1608065662,0.307201,0,1,5180,6,-107,56,7595758942,1-0-0,0x00000000,3300791625,,0,,,0c:9d:92:54:fe:34,1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1,DE,ff:ff:ff:ff:ff:ff,0x00000000,0,0,0,0,0,0,0,8,,100,1,0,,24013824062,ff:ff:ff:ff:ff:ff,408,,,,0c:9d:92:54:fe:34,1734,ASUS_5G,0c:9d:92:54:fe:34,1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1,7-8-4-52-1-2-20-5-26-22-8-12-5-2-9-24-5,36,6,7595758942,5180,-34,7595758534,5,7595758942,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal
23,70,4300,Dec 15- 2020 22:55:08.497941000 GTB Standard Time,7.00E-06,7.00E-06,1608065708,46.492303,0,1,5180,24,-105,56,7641943883,1-0-0,0x00000000,3346976568,,0,,,,,,,0x00000000,0,0,0,0,0,1,0,13,,,,,,,88:66:a5:55:a2:d4,28,,,,,,,,,,36,24,7641943883,5180,-34,7641943855,5,7641943883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal
23,86,4301,Dec 15- 2020 22:55:08.498219000 GTB Standard Time,0.000278,0.000278,1608065708,46.492581,0,1,5180,6,-103,56,7641944092,1-0-0,0x00000000,3346976775,,60,,,0c:9d:92:54:fe:34,,,88:66:a5:55:a2:d4,0x00000002,0,0,0,0,0,2,0,12,,,,,,,88:66:a5:55:a2:d4,64,,,,0c:9d:92:54:fe:34,2549,,0c:9d:92:54:fe:34,,,36,6,7641944092,5180,-33,7641944028,5,7641944092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal
23,76,4302,Dec 15- 2020 22:55:08.534419000 GTB Standard Time,0.0362,0.0362,1608065709,46.528781,0,1,5180,12,-160,56,7641980316,1-0-0,0x00000000,3347013000,,216,,,,,,,0x00000000,0,0,0,0,0,1,0,11,,,,,,,0c:9d:92:54:fe:34,36,,,,,,,a4:b1:c1:91:4c:72,,,36,12,7641980316,5180,-53,7641980280,5,7641980316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal
23,70,4303,Dec 15- 2020 22:55:08.534424000 GTB Standard Time,5.00E-06,5.00E-06,1608065709,46.528786,0,1,5180,12,-103,56,7641980371,1-0-0,0x00000000,3347013055,,158,,,,,,,0x00000000,0,0,0,0,0,1,0,12,,,,,,,a4:b1:c1:91:4c:72,32,,,,,,,,,,36,12,7641980371,5180,-33,7641980339,5,7641980371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal
23,109,4304,Dec 15- 2020 22:55:08.536299000 GTB Standard Time,0.001875,0.001875,1608065709,46.530661,0,1,5180,6,-104,56,7641982145,1-0-0,0x00000000,3347014828,,60,,,0c:9d:92:54:fe:34,,,a4:b1:c1:91:4c:72,0x00000000,0,0,0,1,0,0,0,13,,,,,,,a4:b1:c1:91:4c:72,96,,,,0c:9d:92:54:fe:34,2550,,0c:9d:92:54:fe:34,,,36,6,7641982145,5180,-33,7641982049,5,7641982145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal
23,452,4305,Dec 15- 2020 22:55:08.536533000 GTB Standard Time,0.000234,0.000234,1608065709,46.530895,0,1,5180,,-103,56,,0-0-0,0x00000000,3347015110,,44,,,0c:9d:92:54:fe:34,,,a4:b1:c1:91:4c:72,0x00000002,0,0,0,1,0,2,0,8,,,,,,,a4:b1:c1:91:4c:72,60,,,,0c:9d:92:54:fe:30,9,,0c:9d:92:54:fe:34,,,36,156,,5180,-33,,8,,,,,,,,,,,,llc,,,,,,,,,,,192.168.2.254,17,192.168.2.1,64,4,,,,,,,,,,,,,,,,,,,,,,,,,,,68,67,322,020106008a03f52d0000000000000000c0a802fec0a8020100000000a4b1c1914c7200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000638253633501053604c0a802013304000151803a040000a8c03b04000127500104ffffff001c04c0a802ff0604c0a802010c087562756e747561782c04c0a802010f04415355530304c0a80201ff,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dynamic Host Configuration Protocol (ACK),,99.130.83.99,0,a4:b1:c1:91:4c:72,0x8a03f52d,0.0.0.0,0.0.0.0,192.168.2.1,192.168.2.255,192.168.2.1,192.168.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal
23,109,4306,Dec 15- 2020 22:55:08.536851000 GTB Standard Time,0.000318,0.000318,1608065709,46.531213,0,1,5180,6,-157,56,7641982728,1-0-0,0x00000000,3347015411,,60,,,0c:9d:92:54:fe:34,,,0c:9d:92:54:fe:34,0x00000000,0,0,0,1,0,0,0,13,,,,,,,0c:9d:92:54:fe:34,96,,,,a4:b1:c1:91:4c:72,32,,a4:b1:c1:91:4c:72,,,36,6,7641982728,5180,-53,7641982632,5,7641982728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal
23,70,4307,Dec 15- 2020 22:55:08.536901000 GTB Standard Time,5.00E-05,5.00E-05,1608065709,46.531263,0,1,5180,6,-103,56,7641982844,1-0-0,0x00000000,3347015527,,0,,,,,,,0x00000000,0,0,0,0,0,1,0,13,,,,,,,a4:b1:c1:91:4c:72,44,,,,,,,,,,36,6,7641982844,5180,-33,7641982800,5,7641982844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal
23,452,4308,Dec 15- 2020 22:55:08.537539000 GTB Standard Time,0.000638,0.000638,1608065709,46.531901,0,1,5180,,-103,56,,0-0-0,0x00000000,3347016091,,44,,,0c:9d:92:54:fe:34,,,a4:b1:c1:91:4c:72,0x00000002,0,0,0,1,0,2,1,8,,,,,,,a4:b1:c1:91:4c:72,60,,,,0c:9d:92:54:fe:30,9,,0c:9d:92:54:fe:34,,,36,156,,5180,-33,,8,,,,,,,,,,,,llc,,,,,,,,,,,192.168.2.254,17,192.168.2.1,64,4,,,,,,,,,,,,,,,,,,,,,,,,,,,68,67,322,020106008a03f52d0000000000000000c0a802fec0a8020100000000a4b1c1914c7200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000638253633501053604c0a802013304000151803a040000a8c03b04000127500104ffffff001c04c0a802ff0604c0a802010c087562756e747561782c04c0a802010f04415355530304c0a80201ff,0.001006,0.001006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dynamic Host Configuration Protocol (ACK),,99.130.83.99,0,a4:b1:c1:91:4c:72,0x8a03f52d,0.0.0.0,0.0.0.0,192.168.2.1,192.168.2.255,192.168.2.1,192.168.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal
23,452,4309,Dec 15- 2020 22:55:08.538618000 GTB Standard Time,0.001079,0.001079,1608065709,46.53298,0,1,5180,,-103,56,,0-0-0,0x00000000,3347016702,,60,,,0c:9d:92:54:fe:34,,,a4:b1:c1:91:4c:72,0x00000002,0,0,0,1,0,2,1,8,,,,,,,a4:b1:c1:91:4c:72,525,,,,0c:9d:92:54:fe:30,9,,0c:9d:92:54:fe:34,,,36,6.5,,5180,-33,,8,,,,,,,,,,,,llc,,,,,,,,,,,192.168.2.254,17,192.168.2.1,64,4,,,,,,,,,,,,,,,,,,,,,,,,,,,68,67,322,020106008a03f52d0000000000000000c0a802fec0a8020100000000a4b1c1914c7200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000638253633501053604c0a802013304000151803a040000a8c03b04000127500104ffffff001c04c0a802ff0604c0a802010c087562756e747561782c04c0a802010f04415355530304c0a80201ff,0.002085,0.001079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dynamic Host Configuration Protocol (ACK),,99.130.83.99,0,a4:b1:c1:91:4c:72,0x8a03f52d,0.0.0.0,0.0.0.0,192.168.2.1,192.168.2.255,192.168.2.1,192.168.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal
